0,1,2,3,4,5,6,7,8,9,label
1.1052686,0.77720225,0.69671685,0.37107685,0.3719497,0.6853605,0.67617685,0.40492296,0.8952598,0.70317954,heart
1.0373659,0.7876405,0.6837829,0.3764821,0.3742571,0.66034406,0.66957265,0.39747456,0.8865679,0.7592697,heart
0.85432374,0.7708223,0.6727114,0.39063218,0.3896359,0.6064626,0.6264014,0.4092949,0.8882742,0.9022602,heart
0.90696234,0.75965977,0.7002158,0.39036152,0.3795436,0.6276065,0.59678566,0.39420143,0.92385894,0.83758694,heart
0.93783504,0.7708732,0.6863566,0.37720102,0.39821866,0.5234437,0.7050305,0.3913717,0.90694165,0.821971,heart
0.79780865,0.7643191,0.705278,0.39491272,0.39370933,0.56499845,0.5883976,0.3657365,0.92275846,0.95802313,heart
0.79105145,0.7676495,0.6872504,0.38608897,0.39356667,0.6410611,0.56251115,0.40238973,0.8801576,0.9704166,heart
0.7988658,0.7962343,0.7102836,0.39404073,0.39597744,0.54443574,0.6205749,0.34399626,0.8891075,0.99670595,heart
0.9859326,0.78146976,0.6702643,0.37871444,0.3683237,0.7089595,0.59863615,0.42110723,0.87138885,0.7926199,heart
0.87796575,0.7862729,0.6801108,0.36982298,0.3790737,0.6345466,0.6223271,0.42966062,0.8726919,0.8955621,heart
1.0262905,0.7649143,0.661127,0.36920795,0.38875186,0.5664112,0.75805134,0.4086368,0.8908439,0.7453194,heart
0.7904956,0.79219943,0.6720304,0.36689982,0.39125973,0.5481898,0.6652878,0.4477218,0.86804265,1.0021554,heart
0.8032781,0.7794833,0.6453065,0.37606877,0.38588786,0.52183557,0.7053438,0.43290755,0.8613362,0.9703779,heart
0.81446207,0.7835277,0.6961351,0.4017606,0.38847366,0.5184291,0.6671192,0.3660238,0.8816906,0.9620186,heart
0.87452906,0.7626665,0.6742247,0.3702726,0.39124343,0.5601003,0.6861465,0.4444936,0.87992823,0.87208825,heart
1.1141548,0.7750531,0.6827668,0.3763951,0.36819986,0.71398145,0.63705754,0.40393344,0.8883493,0.6956422,heart
0.99225503,0.78947175,0.70468277,0.3672863,0.39041454,0.53702396,0.7535561,0.38232687,0.8914936,0.7956339,heart
1.0606219,0.76794696,0.66978645,0.38085428,0.3722075,0.7417976,0.61226285,0.40942737,0.8892502,0.7240535,heart
0.83766365,0.78206146,0.68494713,0.37389067,0.40669146,0.50672805,0.68617505,0.38358966,0.88735855,0.93362224,heart
0.8010303,0.7843584,0.70944333,0.38856658,0.38345423,0.6283537,0.53469557,0.3712965,0.90170634,0.9791869,heart
0.9408814,0.78436655,0.67648554,0.3693249,0.37124723,0.65164506,0.6649376,0.43428457,0.8703257,0.8336508,heart
0.8746991,0.76482844,0.6825605,0.39678007,0.37815994,0.7044536,0.5316048,0.3901659,0.90263766,0.8743903,heart
0.989793,0.7760738,0.6611259,0.38302702,0.38569084,0.6564782,0.687192,0.40470186,0.872728,0.78407687,heart
0.90390974,0.7909888,0.6766919,0.39336613,0.36944214,0.6755755,0.59790933,0.40845206,0.8708844,0.875075,heart
0.86901665,0.7658474,0.667184,0.39815924,0.37901795,0.68182397,0.5455929,0.38425267,0.89359516,0.8812805,heart
0.8806703,0.77769214,0.68838185,0.40994743,0.37732905,0.694286,0.50916785,0.3642626,0.89937943,0.8830684,heart
0.79947275,0.78192407,0.66958517,0.41201106,0.3553211,0.61215806,0.6040698,0.45163348,0.8637763,0.97804976,heart
0.80837077,0.78254664,0.6793717,0.37559623,0.38613194,0.61490613,0.6020811,0.4177538,0.8765356,0.9680541,heart
0.9434931,0.77962106,0.68491906,0.39990616,0.3817776,0.6173825,0.62153846,0.37904114,0.8959242,0.82631344,heart
0.8985682,0.77284324,0.68572515,0.38674676,0.37136665,0.6411544,0.6084883,0.41254508,0.88559294,0.860083,heart
0.8951116,0.7602183,0.6881483,0.39090198,0.3913636,0.59029585,0.6281082,0.38134754,0.9018301,0.8493,heart
0.9148399,0.7652019,0.6775511,0.38694993,0.39548618,0.5809806,0.69669694,0.39091676,0.8779128,0.8364326,heart
0.87800884,0.77118844,0.67552334,0.38846675,0.37947536,0.6450068,0.585186,0.38889816,0.8892435,0.8783379,heart
0.78965306,0.78336483,0.6581168,0.38671958,0.3969153,0.38023335,0.79615074,0.3983245,0.9026735,0.99203664,heart
1.0246528,0.76594496,0.68962353,0.37163532,0.392009,0.60259193,0.7230721,0.39238286,0.8916072,0.7475166,heart
0.8271838,0.77225614,0.6963344,0.3851666,0.3862853,0.542099,0.6734328,0.40393308,0.89582264,0.93359685,heart
0.8457598,0.7707146,0.689382,0.39385048,0.3801988,0.53144795,0.67129433,0.36970896,0.9071901,0.9112689,heart
0.79300785,0.78149337,0.70430076,0.40847746,0.3764051,0.64711076,0.5300887,0.37726718,0.8978218,0.98547995,heart
0.9680861,0.7810709,0.6666075,0.37805635,0.38184723,0.59681505,0.7102051,0.41763642,0.882472,0.8068197,heart
1.5568935,0.7567253,0.7270098,0.3798232,0.37463006,0.77127945,0.77663183,0.35396937,0.9216376,0.4860482,heart
0.87873745,0.78756684,0.68344563,0.37984148,0.3766512,0.54649484,0.6878742,0.40776482,0.8740555,0.89624816,heart
0.9934112,0.77522004,0.69921535,0.37945932,0.37862682,0.63458884,0.6108967,0.3730429,0.9007142,0.7803617,heart
0.7794768,0.78195345,0.67490834,0.38216197,0.40317595,0.46936792,0.7156196,0.42138994,0.8686919,1.0031773,heart
0.8154121,0.7976722,0.6787217,0.40030602,0.38054422,0.5669669,0.6199,0.36775103,0.87523645,0.97824425,heart
0.874044,0.77142835,0.6642071,0.3865556,0.37533885,0.6291817,0.6354113,0.41102174,0.8819725,0.88259673,heart
1.0042586,0.7750876,0.7044258,0.37911445,0.37697598,0.64968336,0.6521369,0.38133296,0.89752185,0.7718008,heart
0.9520547,0.7764012,0.66683805,0.39312905,0.3826304,0.5713418,0.6901122,0.3718208,0.8759952,0.8155007,heart
0.9069215,0.764187,0.6943662,0.37714988,0.38390034,0.60169107,0.6403525,0.39248616,0.9074611,0.84261644,heart
1.1797432,0.7794418,0.6733381,0.3793192,0.38232493,0.6747216,0.7184952,0.40385026,0.86430573,0.6606877,heart
1.1609383,0.767344,0.67815465,0.37720916,0.37104672,0.73693097,0.6729113,0.38093367,0.8835267,0.66096884,heart
0.9414381,0.7814864,0.667239,0.3729816,0.38206747,0.62347275,0.6462566,0.40000883,0.8777157,0.83009857,heart
0.990746,0.81660676,0.6254067,0.37480494,0.4001587,0.52769667,0.75819695,0.40549445,0.8361649,0.8242342,heart
0.98648554,0.7740328,0.67523026,0.37554082,0.376475,0.61054957,0.7017232,0.4154913,0.8810897,0.7846367,heart
1.0654092,0.7811201,0.66238654,0.38337314,0.36169866,0.7705534,0.6079987,0.4169158,0.8823128,0.73316437,heart
1.0022714,0.7818969,0.68038905,0.37642327,0.37005648,0.6969535,0.6355508,0.41164497,0.8755903,0.7801249,heart
0.7507722,0.76767635,0.69109434,0.40778035,0.384049,0.5485288,0.61639184,0.37649933,0.90858847,1.0225158,heart
